"","time","month","year","yloc","xloc","value","long","lat","fixedtime","fixedyear","realyear"
"2719689",1333,1,112,33,39,NA,15,-75,"1961-01-01",1961,1961
"2719725",1334,2,112,33,39,1.27,15,-75,"1961-02-01",1961,1961
"2719761",1335,3,112,33,39,-1.4,15,-75,"1961-03-01",1961,1961
"2719797",1336,4,112,33,39,-1.91,15,-75,"1961-04-01",1961,1961
"2719833",1337,5,112,33,39,-0.3,15,-75,"1961-05-01",1961,1961
"2719869",1338,6,112,33,39,0.39,15,-75,"1961-06-01",1961,1961
"2719905",1339,7,112,33,39,-1.29,15,-75,"1961-07-01",1961,1961
"2719941",1340,8,112,33,39,2.21,15,-75,"1961-08-01",1961,1961
"2719977",1341,9,112,33,39,2.4,15,-75,"1961-09-01",1961,1961
"2720013",1342,10,112,33,39,1.84,15,-75,"1961-10-01",1961,1961
"2720049",1343,11,112,33,39,0.68,15,-75,"1961-11-01",1961,1961
"2720085",1344,12,112,33,39,-1.7,15,-75,"1961-12-01",1961,1961
"2720121",1345,1,113,33,39,-1.37,15,-75,"1962-01-01",1962,1962
"2720157",1346,2,113,33,39,-0.73,15,-75,"1962-02-01",1962,1962
"2720193",1347,3,113,33,39,-0.9,15,-75,"1962-03-01",1962,1962
"2720229",1348,4,113,33,39,-2.02,15,-75,"1962-04-01",1962,1962
"2720265",1349,5,113,33,39,-3.1,15,-75,"1962-05-01",1962,1962
"2720301",1350,6,113,33,39,3.99,15,-75,"1962-06-01",1962,1962
"2720337",1351,7,113,33,39,-2.29,15,-75,"1962-07-01",1962,1962
"2720373",1352,8,113,33,39,-3.3,15,-75,"1962-08-01",1962,1962
"2720409",1353,9,113,33,39,1.3,15,-75,"1962-09-01",1962,1962
"2720445",1354,10,113,33,39,-2.36,15,-75,"1962-10-01",1962,1962
"2720481",1355,11,113,33,39,0.28,15,-75,"1962-11-01",1962,1962
"2720517",1356,12,113,33,39,-0.8,15,-75,"1962-12-01",1962,1962
"2720553",1357,1,114,33,39,-0.37,15,-75,"1963-01-01",1963,1963
"2720589",1358,2,114,33,39,-0.73,15,-75,"1963-02-01",1963,1963
"2720625",1359,3,114,33,39,-2.6,15,-75,"1963-03-01",1963,1963
"2720661",1360,4,114,33,39,-5.62,15,-75,"1963-04-01",1963,1963
"2720697",1361,5,114,33,39,-0.9,15,-75,"1963-05-01",1963,1963
"2720733",1362,6,114,33,39,0.99,15,-75,"1963-06-01",1963,1963
"2720769",1363,7,114,33,39,-0.39,15,-75,"1963-07-01",1963,1963
"2720805",1364,8,114,33,39,5.4,15,-75,"1963-08-01",1963,1963
