"","time","month","year","yloc","xloc","value","long","lat","fixedtime","fixedyear","realyear"
"2601404",1,1,1,8,38,-6.03,10,50,"1850-01-01",1850,1850
"2601440",2,2,1,8,38,2.27,10,50,"1850-02-01",1850,1850
"2601476",3,3,1,8,38,-3.94,10,50,"1850-03-01",1850,1850
"2601512",4,4,1,8,38,-0.08,10,50,"1850-04-01",1850,1850
"2601548",5,5,1,8,38,-1.73,10,50,"1850-05-01",1850,1850
"2601584",6,6,1,8,38,-0.08,10,50,"1850-06-01",1850,1850
"2601620",7,7,1,8,38,-1.51,10,50,"1850-07-01",1850,1850
"2601656",8,8,1,8,38,-1.12,10,50,"1850-08-01",1850,1850
"2601692",9,9,1,8,38,-2.35,10,50,"1850-09-01",1850,1850
"2601728",10,10,1,8,38,-2.88,10,50,"1850-10-01",1850,1850
"2601764",11,11,1,8,38,0.53,10,50,"1850-11-01",1850,1850
"2601800",12,12,1,8,38,-0.71,10,50,"1850-12-01",1850,1850
"2601836",13,1,2,8,38,0.87,10,50,"1851-01-01",1851,1851
"2601872",14,2,2,8,38,0.22,10,50,"1851-02-01",1851,1851
"2601908",15,3,2,8,38,-0.64,10,50,"1851-03-01",1851,1851
"2601944",16,4,2,8,38,-0.67,10,50,"1851-04-01",1851,1851
"2601980",17,5,2,8,38,-2.79,10,50,"1851-05-01",1851,1851
"2602016",18,6,2,8,38,-0.41,10,50,"1851-06-01",1851,1851
"2602052",19,7,2,8,38,-1.27,10,50,"1851-07-01",1851,1851
"2602088",20,8,2,8,38,0.27,10,50,"1851-08-01",1851,1851
"2602124",21,9,2,8,38,-1.7,10,50,"1851-09-01",1851,1851
"2602160",22,10,2,8,38,0.57,10,50,"1851-10-01",1851,1851
"2602196",23,11,2,8,38,-3.62,10,50,"1851-11-01",1851,1851
"2602232",24,12,2,8,38,-0.3,10,50,"1851-12-01",1851,1851
"2602268",25,1,3,8,38,1.67,10,50,"1852-01-01",1852,1852
"2602304",26,2,3,8,38,1.15,10,50,"1852-02-01",1852,1852
