anomaly,date
-0.695,1850/01/01
-0.284,1850/02/01
-0.732,1850/03/01
-0.571,1850/04/01
-0.326,1850/05/01
-0.218,1850/06/01
-0.132,1850/07/01
-0.236,1850/08/01
-0.448,1850/09/01
-0.456,1850/10/01
-0.194,1850/11/01
-0.268,1850/12/01
-0.302,1851/01/01
-0.354,1851/02/01
-0.472,1851/03/01
-0.444,1851/04/01
-0.307,1851/05/01
-0.194,1851/06/01
-0.22,1851/07/01
-0.16,1851/08/01
-0.115,1851/09/01
-0.059,1851/10/01
-0.027,1851/11/01
-0.065,1851/12/01
-0.305,1852/01/01
-0.462,1852/02/01
-0.501,1852/03/01
-0.566,1852/04/01
-0.213,1852/05/01
-0.045,1852/06/01
-0.017,1852/07/01
-0.208,1852/08/01
-0.135,1852/09/01
-0.22,1852/10/01
-0.196,1852/11/01
0.086,1852/12/01
-0.178,1853/01/01
-0.328,1853/02/01
-0.313,1853/03/01
-0.354,1853/04/01
-0.276,1853/05/01
-0.179,1853/06/01
-0.063,1853/07/01
-0.152,1853/08/01
-0.405,1853/09/01
-0.367,1853/10/01
-0.252,1853/11/01
-0.431,1853/12/01
-0.36,1854/01/01
-0.281,1854/02/01
-0.279,1854/03/01
-0.352,1854/04/01
-0.233,1854/05/01
-0.214,1854/06/01
-0.228,1854/07/01
-0.17,1854/08/01
-0.118,1854/09/01
-0.198,1854/10/01
-0.368,1854/11/01
-0.231,1854/12/01
-0.157,1855/01/01
-0.397,1855/02/01
-0.304,1855/03/01
-0.225,1855/04/01
-0.345,1855/05/01
-0.168,1855/06/01
-0.277,1855/07/01
-0.165,1855/08/01
-0.33,1855/09/01
-0.213,1855/10/01
-0.207,1855/11/01
-0.485,1855/12/01
-0.146,1856/01/01
-0.376,1856/02/01
-0.518,1856/03/01
-0.372,1856/04/01
-0.123,1856/05/01
-0.299,1856/06/01
-0.311,1856/07/01
-0.311,1856/08/01
-0.452,1856/09/01
-0.388,1856/10/01
-0.607,1856/11/01
-0.451,1856/12/01
-0.516,1857/01/01
-0.338,1857/02/01
-0.437,1857/03/01
-0.64,1857/04/01
-0.566,1857/05/01
-0.31,1857/06/01
-0.549,1857/07/01
-0.325,1857/08/01
-0.388,1857/09/01
-0.473,1857/10/01
-0.67,1857/11/01
-0.356,1857/12/01
-0.534,1858/01/01
-0.709,1858/02/01
-0.549,1858/03/01
-0.509,1858/04/01
-0.649,1858/05/01
-0.572,1858/06/01
-0.332,1858/07/01
-0.281,1858/08/01
-0.341,1858/09/01
-0.204,1858/10/01
-0.636,1858/11/01
-0.305,1858/12/01
-0.312,1859/01/01
-0.189,1859/02/01
-0.324,1859/03/01
-0.195,1859/04/01
-0.312,1859/05/01
-0.244,1859/06/01
-0.292,1859/07/01
-0.111,1859/08/01
-0.601,1859/09/01
-0.262,1859/10/01
-0.313,1859/11/01
-0.372,1859/12/01
-0.179,1860/01/01
-0.425,1860/02/01
-0.626,1860/03/01
-0.329,1860/04/01
-0.295,1860/05/01
-0.304,1860/06/01
-0.122,1860/07/01
-0.194,1860/08/01
-0.242,1860/09/01
-0.2,1860/10/01
-0.514,1860/11/01
-0.748,1860/12/01
-0.869,1861/01/01
-0.488,1861/02/01
-0.458,1861/03/01
-0.365,1861/04/01
-0.743,1861/05/01
-0.172,1861/06/01
-0.229,1861/07/01
-0.102,1861/08/01
-0.327,1861/09/01
-0.358,1861/10/01
-0.423,1861/11/01
-0.226,1861/12/01
-0.727,1862/01/01
-0.735,1862/02/01
-0.402,1862/03/01
-0.244,1862/04/01
-0.228,1862/05/01
-0.342,1862/06/01
-0.357,1862/07/01
-0.691,1862/08/01
-0.429,1862/09/01
-0.402,1862/10/01
-0.741,1862/11/01
-0.834,1862/12/01
0.141,1863/01/01
-0.047,1863/02/01
-0.373,1863/03/01
-0.219,1863/04/01
-0.329,1863/05/01
-0.399,1863/06/01
-0.437,1863/07/01
-0.331,1863/08/01
-0.362,1863/09/01
-0.398,1863/10/01
-0.337,1863/11/01
-0.321,1863/12/01
-0.902,1864/01/01
-0.606,1864/02/01
-0.519,1864/03/01
-0.535,1864/04/01
-0.425,1864/05/01
-0.173,1864/06/01
-0.147,1864/07/01
-0.303,1864/08/01
-0.435,1864/09/01
-0.713,1864/10/01
-0.457,1864/11/01
-0.571,1864/12/01
-0.133,1865/01/01
-0.625,1865/02/01
-0.621,1865/03/01
-0.198,1865/04/01
-0.246,1865/05/01
-0.249,1865/06/01
-0.126,1865/07/01
-0.223,1865/08/01
-0.063,1865/09/01
-0.302,1865/10/01
-0.195,1865/11/01
-0.332,1865/12/01
0.033,1866/01/01
-0.198,1866/02/01
-0.608,1866/03/01
-0.234,1866/04/01
