"","time","month","year","yloc","xloc","value","long","lat","fixedtime","fixedyear","realyear"
"1131850",193,1,17,10,17,NA,-95,40,"1866-01-01",1866,1866
"1131886",194,2,17,10,17,NA,-95,40,"1866-02-01",1866,1866
"1131922",195,3,17,10,17,NA,-95,40,"1866-03-01",1866,1866
"1131958",196,4,17,10,17,NA,-95,40,"1866-04-01",1866,1866
"1131994",197,5,17,10,17,-1.47,-95,40,"1866-05-01",1866,1866
"1132030",198,6,17,10,17,-2.91,-95,40,"1866-06-01",1866,1866
"1132066",199,7,17,10,17,0.36,-95,40,"1866-07-01",1866,1866
"1132102",200,8,17,10,17,-2.37,-95,40,"1866-08-01",1866,1866
"1132138",201,9,17,10,17,-3.03,-95,40,"1866-09-01",1866,1866
"1132174",202,10,17,10,17,-0.67,-95,40,"1866-10-01",1866,1866
"1132210",203,11,17,10,17,NA,-95,40,"1866-11-01",1866,1866
"1132246",204,12,17,10,17,NA,-95,40,"1866-12-01",1866,1866
"1132282",205,1,18,10,17,-2.35,-95,40,"1867-01-01",1867,1867
"1132318",206,2,18,10,17,-0.64,-95,40,"1867-02-01",1867,1867
"1132354",207,3,18,10,17,-9.45,-95,40,"1867-03-01",1867,1867
"1132390",208,4,18,10,17,-3.37,-95,40,"1867-04-01",1867,1867
"1132426",209,5,18,10,17,-5.07,-95,40,"1867-05-01",1867,1867
"1132462",210,6,18,10,17,-1.21,-95,40,"1867-06-01",1867,1867
"1132498",211,7,18,10,17,-2.84,-95,40,"1867-07-01",1867,1867
"1132534",212,8,18,10,17,-0.87,-95,40,"1867-08-01",1867,1867
"1132570",213,9,18,10,17,1.47,-95,40,"1867-09-01",1867,1867
"1132606",214,10,18,10,17,1.13,-95,40,"1867-10-01",1867,1867
"1132642",215,11,18,10,17,NA,-95,40,"1867-11-01",1867,1867
"1132678",216,12,18,10,17,2.6,-95,40,"1867-12-01",1867,1867
"1132714",217,1,19,10,17,-3.85,-95,40,"1868-01-01",1868,1868
"1132750",218,2,19,10,17,0.56,-95,40,"1868-02-01",1868,1868
"1132786",219,3,19,10,17,4.55,-95,40,"1868-03-01",1868,1868
"1132822",220,4,19,10,17,-3.67,-95,40,"1868-04-01",1868,1868
"1132858",221,5,19,10,17,-0.27,-95,40,"1868-05-01",1868,1868
"1132894",222,6,19,10,17,-1.11,-95,40,"1868-06-01",1868,1868
"1132930",223,7,19,10,17,2.16,-95,40,"1868-07-01",1868,1868
"1132966",224,8,19,10,17,-2.67,-95,40,"1868-08-01",1868,1868
"1133002",225,9,19,10,17,-4.43,-95,40,"1868-09-01",1868,1868
"1133038",226,10,19,10,17,-1.67,-95,40,"1868-10-01",1868,1868
"1133074",227,11,19,10,17,-1.79,-95,40,"1868-11-01",1868,1868
"1133110",228,12,19,10,17,-2,-95,40,"1868-12-01",1868,1868
"1133146",229,1,20,10,17,1.85,-95,40,"1869-01-01",1869,1869
"1133182",230,2,20,10,17,0.76,-95,40,"1869-02-01",1869,1869
"1133218",231,3,20,10,17,-1.95,-95,40,"1869-03-01",1869,1869
"1133254",232,4,20,10,17,-2.97,-95,40,"1869-04-01",1869,1869
"1133290",233,5,20,10,17,-1.97,-95,40,"1869-05-01",1869,1869
"1133326",234,6,20,10,17,-3.91,-95,40,"1869-06-01",1869,1869
"1133362",235,7,20,10,17,-3.74,-95,40,"1869-07-01",1869,1869
"1133398",236,8,20,10,17,-1.27,-95,40,"1869-08-01",1869,1869
"1133434",237,9,20,10,17,-1.53,-95,40,"1869-09-01",1869,1869
"1133470",238,10,20,10,17,-5.27,-95,40,"1869-10-01",1869,1869
"1133506",239,11,20,10,17,-2.99,-95,40,"1869-11-01",1869,1869
"1133542",240,12,20,10,17,1.6,-95,40,"1869-12-01",1869,1869
"1133578",241,1,21,10,17,0.75,-95,40,"1870-01-01",1870,1870
"1133614",242,2,21,10,17,3.06,-95,40,"1870-02-01",1870,1870
"1133650",243,3,21,10,17,-3.55,-95,40,"1870-03-01",1870,1870
"1133686",244,4,21,10,17,-0.07,-95,40,"1870-04-01",1870,1870
"1133722",245,5,21,10,17,0.63,-95,40,"1870-05-01",1870,1870
"1133758",246,6,21,10,17,-0.61,-95,40,"1870-06-01",1870,1870
"1133794",247,7,21,10,17,-0.24,-95,40,"1870-07-01",1870,1870
"1133830",248,8,21,10,17,-4.07,-95,40,"1870-08-01",1870,1870
"1133866",249,9,21,10,17,-0.53,-95,40,"1870-09-01",1870,1870
"1133902",250,10,21,10,17,-0.37,-95,40,"1870-10-01",1870,1870
"1133938",251,11,21,10,17,2.71,-95,40,"1870-11-01",1870,1870
"1133974",252,12,21,10,17,1.3,-95,40,"1870-12-01",1870,1870
"1134010",253,1,22,10,17,1.55,-95,40,"1871-01-01",1871,1871
"1134046",254,2,22,10,17,2.56,-95,40,"1871-02-01",1871,1871
"1134082",255,3,22,10,17,2.45,-95,40,"1871-03-01",1871,1871
"1134118",256,4,22,10,17,2.33,-95,40,"1871-04-01",1871,1871
"1134154",257,5,22,10,17,0.63,-95,40,"1871-05-01",1871,1871
"1134190",258,6,22,10,17,0.78,-95,40,"1871-06-01",1871,1871
"1134226",259,7,22,10,17,-2.71,-95,40,"1871-07-01",1871,1871
"1134262",260,8,22,10,17,-2.07,-95,40,"1871-08-01",1871,1871
"1134298",261,9,22,10,17,-1.03,-95,40,"1871-09-01",1871,1871
"1134334",262,10,22,10,17,0.63,-95,40,"1871-10-01",1871,1871
"1134370",263,11,22,10,17,-4.6,-95,40,"1871-11-01",1871,1871
"1134406",264,12,22,10,17,-4.44,-95,40,"1871-12-01",1871,1871
"1134442",265,1,23,10,17,-2.71,-95,40,"1872-01-01",1872,1872
"1134478",266,2,23,10,17,0.27,-95,40,"1872-02-01",1872,1872
"1134514",267,3,23,10,17,-3.16,-95,40,"1872-03-01",1872,1872
"1134550",268,4,23,10,17,-0.48,-95,40,"1872-04-01",1872,1872
"1134586",269,5,23,10,17,-0.95,-95,40,"1872-05-01",1872,1872
"1134622",270,6,23,10,17,1.01,-95,40,"1872-06-01",1872,1872
"1134658",271,7,23,10,17,-1.06,-95,40,"1872-07-01",1872,1872
"1134694",272,8,23,10,17,-0.13,-95,40,"1872-08-01",1872,1872
"1134730",273,9,23,10,17,-1.26,-95,40,"1872-09-01",1872,1872
"1134766",274,10,23,10,17,-0.59,-95,40,"1872-10-01",1872,1872
"1134802",275,11,23,10,17,-5.42,-95,40,"1872-11-01",1872,1872
"1134838",276,12,23,10,17,-6.12,-95,40,"1872-12-01",1872,1872
"1134874",277,1,24,10,17,-4.37,-95,40,"1873-01-01",1873,1873
"1134910",278,2,24,10,17,-1.51,-95,40,"1873-02-01",1873,1873
"1134946",279,3,24,10,17,-0.85,-95,40,"1873-03-01",1873,1873
"1134982",280,4,24,10,17,-4.33,-95,40,"1873-04-01",1873,1873
"1135018",281,5,24,10,17,-2.97,-95,40,"1873-05-01",1873,1873
"1135054",282,6,24,10,17,0.92,-95,40,"1873-06-01",1873,1873
